id,x,y,z,xi,yi,zi,value,cost,blockvalue,rock_tonnes,ore_tonnes
31,-15.0,45.0,-15.0,0,2,0,0.0,0.0,0.0,0.0,0.0
32,-15.0,45.0,15.0,0,2,1,0.0,0.0,0.0,0.0,0.0
33,-15.0,45.0,45.0,0,2,2,0.0,0.0,0.0,0.0,0.0
34,-15.0,45.0,75.0,0,2,3,0.0,0.0,0.0,0.0,0.0
35,-15.0,45.0,105.0,0,2,4,0.0,0.0,0.0,0.0,0.0
36,-15.0,45.0,135.0,0,2,5,0.0,0.0,0.0,0.0,0.0
37,-15.0,45.0,165.0,0,2,6,0.0,0.0,0.0,0.0,0.0
38,-15.0,45.0,195.0,0,2,7,0.0,0.0,0.0,0.0,0.0
39,-15.0,45.0,225.0,0,2,8,0.0,0.0,0.0,0.0,0.0
40,-15.0,45.0,255.0,0,2,9,0.0,0.0,0.0,0.0,0.0
41,-15.0,45.0,285.0,0,2,10,0.0,0.0,0.0,0.0,0.0
42,-15.0,45.0,315.0,0,2,11,0.0,0.0,0.0,0.0,0.0
43,-15.0,45.0,345.0,0,2,12,0.0,0.0,0.0,0.0,0.0
44,-15.0,45.0,375.0,0,2,13,0.0,0.0,0.0,0.0,0.0
45,-15.0,45.0,405.0,0,2,14,0.0,0.0,0.0,0.0,0.0
46,-15.0,75.0,-15.0,0,3,0,0.0,0.0,0.0,0.0,0.0
47,-15.0,75.0,15.0,0,3,1,0.0,0.0,0.0,0.0,0.0
48,-15.0,75.0,45.0,0,3,2,0.0,0.0,0.0,0.0,0.0
49,-15.0,75.0,75.0,0,3,3,0.0,0.0,0.0,0.0,0.0
50,-15.0,75.0,105.0,0,3,4,0.0,0.0,0.0,0.0,0.0
51,-15.0,75.0,135.0,0,3,5,0.0,0.0,0.0,0.0,0.0
52,-15.0,75.0,165.0,0,3,6,0.0,0.0,0.0,0.0,0.0
53,-15.0,75.0,195.0,0,3,7,0.0,0.0,0.0,0.0,0.0
54,-15.0,75.0,225.0,0,3,8,0.0,0.0,0.0,0.0,0.0
55,-15.0,75.0,255.0,0,3,9,0.0,0.0,0.0,0.0,0.0
56,-15.0,75.0,285.0,0,3,10,0.0,0.0,0.0,0.0,0.0
57,-15.0,75.0,315.0,0,3,11,0.0,0.0,0.0,0.0,0.0
58,-15.0,75.0,345.0,0,3,12,0.0,0.0,0.0,0.0,0.0
59,-15.0,75.0,375.0,0,3,13,0.0,0.0,0.0,0.0,0.0
60,-15.0,75.0,405.0,0,3,14,0.0,0.0,0.0,0.0,0.0
61,-15.0,105.0,-15.0,0,4,0,0.0,0.0,0.0,0.0,0.0
62,-15.0,105.0,15.0,0,4,1,0.0,0.0,0.0,0.0,0.0
63,-15.0,105.0,45.0,0,4,2,0.0,0.0,0.0,0.0,0.0
64,-15.0,105.0,75.0,0,4,3,0.0,0.0,0.0,0.0,0.0
65,-15.0,105.0,105.0,0,4,4,0.0,0.0,0.0,0.0,0.0
66,-15.0,105.0,135.0,0,4,5,0.0,0.0,0.0,0.0,0.0
67,-15.0,105.0,165.0,0,4,6,0.0,0.0,0.0,0.0,0.0
68,-15.0,105.0,195.0,0,4,7,0.0,0.0,0.0,0.0,0.0
69,-15.0,105.0,225.0,0,4,8,0.0,0.0,0.0,0.0,0.0
70,-15.0,105.0,255.0,0,4,9,0.0,0.0,0.0,0.0,0.0
71,-15.0,105.0,285.0,0,4,10,0.0,0.0,0.0,0.0,0.0
72,-15.0,105.0,315.0,0,4,11,0.0,0.0,0.0,0.0,0.0
73,-15.0,105.0,345.0,0,4,12,0.0,0.0,0.0,0.0,0.0
74,-15.0,105.0,375.0,0,4,13,0.0,0.0,0.0,0.0,0.0
75,-15.0,105.0,405.0,0,4,14,0.0,0.0,0.0,0.0,0.0
76,-15.0,135.0,-15.0,0,5,0,0.0,0.0,0.0,0.0,0.0
77,-15.0,135.0,15.0,0,5,1,0.0,0.0,0.0,0.0,0.0
78,-15.0,135.0,45.0,0,5,2,0.0,0.0,0.0,0.0,0.0
79,-15.0,135.0,75.0,0,5,3,0.0,0.0,0.0,0.0,0.0
80,-15.0,135.0,105.0,0,5,4,0.0,0.0,0.0,0.0,0.0
81,-15.0,135.0,135.0,0,5,5,0.0,0.0,0.0,0.0,0.0
82,-15.0,135.0,165.0,0,5,6,0.0,0.0,0.0,0.0,0.0
83,-15.0,135.0,195.0,0,5,7,0.0,0.0,0.0,0.0,0.0
84,-15.0,135.0,225.0,0,5,8,0.0,0.0,0.0,0.0,0.0
85,-15.0,135.0,255.0,0,5,9,0.0,0.0,0.0,0.0,0.0
86,-15.0,135.0,285.0,0,5,10,0.0,0.0,0.0,0.0,0.0
87,-15.0,135.0,315.0,0,5,11,0.0,0.0,0.0,0.0,0.0
88,-15.0,135.0,345.0,0,5,12,0.0,0.0,0.0,0.0,0.0
89,-15.0,135.0,375.0,0,5,13,0.0,0.0,0.0,0.0,0.0
90,-15.0,135.0,405.0,0,5,14,0.0,0.0,0.0,0.0,0.0
91,-15.0,165.0,-15.0,0,6,0,0.0,0.0,0.0,0.0,0.0
92,-15.0,165.0,15.0,0,6,1,0.0,0.0,0.0,0.0,0.0
93,-15.0,165.0,45.0,0,6,2,0.0,0.0,0.0,0.0,0.0
94,-15.0,165.0,75.0,0,6,3,0.0,0.0,0.0,0.0,0.0
95,-15.0,165.0,105.0,0,6,4,0.0,0.0,0.0,0.0,0.0
96,-15.0,165.0,135.0,0,6,5,0.0,0.0,0.0,0.0,0.0
97,-15.0,165.0,165.0,0,6,6,0.0,0.0,0.0,0.0,0.0
98,-15.0,165.0,195.0,0,6,7,0.0,0.0,0.0,0.0,0.0
99,-15.0,165.0,225.0,0,6,8,0.0,0.0,0.0,0.0,0.0
100,-15.0,165.0,255.0,0,6,9,0.0,0.0,0.0,0.0,0.0
101,-15.0,165.0,285.0,0,6,10,0.0,0.0,0.0,0.0,0.0
102,-15.0,165.0,315.0,0,6,11,0.0,0.0,0.0,0.0,0.0
103,-15.0,165.0,345.0,0,6,12,0.0,0.0,0.0,0.0,0.0
104,-15.0,165.0,375.0,0,6,13,0.0,0.0,0.0,0.0,0.0
105,-15.0,165.0,405.0,0,6,14,0.0,0.0,0.0,0.0,0.0
106,-15.0,195.0,-15.0,0,7,0,0.0,0.0,0.0,0.0,0.0
107,-15.0,195.0,15.0,0,7,1,0.0,0.0,0.0,0.0,0.0
108,-15.0,195.0,45.0,0,7,2,0.0,0.0,0.0,0.0,0.0
109,-15.0,195.0,75.0,0,7,3,0.0,0.0,0.0,0.0,0.0
110,-15.0,195.0,105.0,0,7,4,0.0,0.0,0.0,0.0,0.0
111,-15.0,195.0,135.0,0,7,5,0.0,0.0,0.0,0.0,0.0
112,-15.0,195.0,165.0,0,7,6,0.0,0.0,0.0,0.0,0.0
113,-15.0,195.0,195.0,0,7,7,0.0,0.0,0.0,0.0,0.0
114,-15.0,195.0,225.0,0,7,8,0.0,0.0,0.0,0.0,0.0
115,-15.0,195.0,255.0,0,7,9,0.0,0.0,0.0,0.0,0.0
116,-15.0,195.0,285.0,0,7,10,0.0,0.0,0.0,0.0,0.0
117,-15.0,195.0,315.0,0,7,11,0.0,0.0,0.0,0.0,0.0
118,-15.0,195.0,345.0,0,7,12,0.0,0.0,0.0,0.0,0.0
119,-15.0,195.0,375.0,0,7,13,0.0,0.0,0.0,0.0,0.0
120,-15.0,195.0,405.0,0,7,14,0.0,0.0,0.0,0.0,0.0
121,-15.0,225.0,-15.0,0,8,0,0.0,0.0,0.0,0.0,0.0
122,-15.0,225.0,15.0,0,8,1,0.0,0.0,0.0,0.0,0.0
123,-15.0,225.0,45.0,0,8,2,0.0,0.0,0.0,0.0,0.0
124,-15.0,225.0,75.0,0,8,3,0.0,0.0,0.0,0.0,0.0
125,-15.0,225.0,105.0,0,8,4,0.0,0.0,0.0,0.0,0.0
126,-15.0,225.0,135.0,0,8,5,0.0,0.0,0.0,0.0,0.0
127,-15.0,225.0,165.0,0,8,6,0.0,0.0,0.0,0.0,0.0
128,-15.0,225.0,195.0,0,8,7,0.0,0.0,0.0,0.0,0.0
129,-15.0,225.0,225.0,0,8,8,0.0,0.0,0.0,0.0,0.0
130,-15.0,225.0,255.0,0,8,9,0.0,0.0,0.0,0.0,0.0
131,-15.0,225.0,285.0,0,8,10,0.0,0.0,0.0,0.0,0.0
132,-15.0,225.0,315.0,0,8,11,0.0,0.0,0.0,0.0,0.0
133,-15.0,225.0,345.0,0,8,12,0.0,0.0,0.0,0.0,0.0
134,-15.0,225.0,375.0,0,8,13,0.0,0.0,0.0,0.0,0.0
135,-15.0,225.0,405.0,0,8,14,0.0,0.0,0.0,0.0,0.0
136,-15.0,255.0,-15.0,0,9,0,0.0,0.0,0.0,0.0,0.0
137,-15.0,255.0,15.0,0,9,1,0.0,0.0,0.0,0.0,0.0
138,-15.0,255.0,45.0,0,9,2,0.0,0.0,0.0,0.0,0.0
139,-15.0,255.0,75.0,0,9,3,0.0,0.0,0.0,0.0,0.0
140,-15.0,255.0,105.0,0,9,4,0.0,0.0,0.0,0.0,0.0
141,-15.0,255.0,135.0,0,9,5,0.0,0.0,0.0,0.0,0.0
142,-15.0,255.0,165.0,0,9,6,0.0,0.0,0.0,0.0,0.0
143,-15.0,255.0,195.0,0,9,7,0.0,0.0,0.0,0.0,0.0
144,-15.0,255.0,225.0,0,9,8,0.0,0.0,0.0,0.0,0.0
145,-15.0,255.0,255.0,0,9,9,0.0,0.0,0.0,0.0,0.0
146,-15.0,255.0,285.0,0,9,10,0.0,0.0,0.0,0.0,0.0
147,-15.0,255.0,315.0,0,9,11,0.0,0.0,0.0,0.0,0.0
148,-15.0,255.0,345.0,0,9,12,0.0,0.0,0.0,0.0,0.0
149,-15.0,255.0,375.0,0,9,13,0.0,0.0,0.0,0.0,0.0
150,-15.0,255.0,405.0,0,9,14,0.0,0.0,0.0,0.0,0.0
151,-15.0,285.0,-15.0,0,10,0,0.0,0.0,0.0,0.0,0.0
152,-15.0,285.0,15.0,0,10,1,0.0,0.0,0.0,0.0,0.0
153,-15.0,285.0,45.0,0,10,2,0.0,0.0,0.0,0.0,0.0
154,-15.0,285.0,75.0,0,10,3,0.0,0.0,0.0,0.0,0.0
155,-15.0,285.0,105.0,0,10,4,0.0,0.0,0.0,0.0,0.0
156,-15.0,285.0,135.0,0,10,5,0.0,0.0,0.0,0.0,0.0
157,-15.0,285.0,165.0,0,10,6,0.0,0.0,0.0,0.0,0.0
158,-15.0,285.0,195.0,0,10,7,0.0,0.0,0.0,0.0,0.0
159,-15.0,285.0,225.0,0,10,8,0.0,0.0,0.0,0.0,0.0
160,-15.0,285.0,255.0,0,10,9,0.0,0.0,0.0,0.0,0.0
161,-15.0,285.0,285.0,0,10,10,0.0,0.0,0.0,0.0,0.0
162,-15.0,285.0,315.0,0,10,11,0.0,0.0,0.0,0.0,0.0
163,-15.0,285.0,345.0,0,10,12,0.0,0.0,0.0,0.0,0.0
164,-15.0,285.0,375.0,0,10,13,0.0,0.0,0.0,0.0,0.0
165,-15.0,285.0,405.0,0,10,14,0.0,0.0,0.0,0.0,0.0
166,-15.0,315.0,-15.0,0,11,0,0.0,0.0,0.0,0.0,0.0
167,-15.0,315.0,15.0,0,11,1,0.0,0.0,0.0,0.0,0.0
168,-15.0,315.0,45.0,0,11,2,0.0,0.0,0.0,0.0,0.0
169,-15.0,315.0,75.0,0,11,3,0.0,0.0,0.0,0.0,0.0
170,-15.0,315.0,105.0,0,11,4,0.0,0.0,0.0,0.0,0.0
171,-15.0,315.0,135.0,0,11,5,0.0,0.0,0.0,0.0,0.0
172,-15.0,315.0,165.0,0,11,6,0.0,0.0,0.0,0.0,0.0
173,-15.0,315.0,195.0,0,11,7,0.0,0.0,0.0,0.0,0.0
174,-15.0,315.0,225.0,0,11,8,0.0,0.0,0.0,0.0,0.0
175,-15.0,315.0,255.0,0,11,9,0.0,0.0,0.0,0.0,0.0
176,-15.0,315.0,285.0,0,11,10,0.0,0.0,0.0,0.0,0.0
177,-15.0,315.0,315.0,0,11,11,0.0,0.0,0.0,0.0,0.0
178,-15.0,315.0,345.0,0,11,12,0.0,0.0,0.0,0.0,0.0
179,-15.0,315.0,375.0,0,11,13,0.0,0.0,0.0,0.0,0.0
180,-15.0,315.0,405.0,0,11,14,0.0,0.0,0.0,0.0,0.0
181,-15.0,345.0,-15.0,0,12,0,0.0,0.0,0.0,0.0,0.0
182,-15.0,345.0,15.0,0,12,1,0.0,0.0,0.0,0.0,0.0
183,-15.0,345.0,45.0,0,12,2,0.0,0.0,0.0,0.0,0.0
184,-15.0,345.0,75.0,0,12,3,0.0,0.0,0.0,0.0,0.0
185,-15.0,345.0,105.0,0,12,4,0.0,0.0,0.0,0.0,0.0
186,-15.0,345.0,135.0,0,12,5,0.0,0.0,0.0,0.0,0.0
187,-15.0,345.0,165.0,0,12,6,0.0,0.0,0.0,0.0,0.0
188,-15.0,345.0,195.0,0,12,7,0.0,0.0,0.0,0.0,0.0
189,-15.0,345.0,225.0,0,12,8,0.0,0.0,0.0,0.0,0.0
190,-15.0,345.0,255.0,0,12,9,0.0,0.0,0.0,0.0,0.0
191,-15.0,345.0,285.0,0,12,10,0.0,0.0,0.0,0.0,0.0
192,-15.0,345.0,315.0,0,12,11,0.0,0.0,0.0,0.0,0.0
193,-15.0,345.0,345.0,0,12,12,0.0,0.0,0.0,0.0,0.0
194,-15.0,345.0,375.0,0,12,13,0.0,0.0,0.0,0.0,0.0
195,-15.0,345.0,405.0,0,12,14,0.0,0.0,0.0,0.0,0.0
196,-15.0,375.0,-15.0,0,13,0,0.0,0.0,0.0,0.0,0.0
197,-15.0,375.0,15.0,0,13,1,0.0,0.0,0.0,0.0,0.0
198,-15.0,375.0,45.0,0,13,2,0.0,0.0,0.0,0.0,0.0
199,-15.0,375.0,75.0,0,13,3,0.0,0.0,0.0,0.0,0.0
200,-15.0,375.0,105.0,0,13,4,0.0,0.0,0.0,0.0,0.0
201,-15.0,375.0,135.0,0,13,5,0.0,0.0,0.0,0.0,0.0
202,-15.0,375.0,165.0,0,13,6,0.0,0.0,0.0,0.0,0.0
203,-15.0,375.0,195.0,0,13,7,0.0,0.0,0.0,0.0,0.0
204,-15.0,375.0,225.0,0,13,8,0.0,0.0,0.0,0.0,0.0
205,-15.0,375.0,255.0,0,13,9,0.0,0.0,0.0,0.0,0.0
206,-15.0,375.0,285.0,0,13,10,0.0,0.0,0.0,0.0,0.0
207,-15.0,375.0,315.0,0,13,11,0.0,0.0,0.0,0.0,0.0
208,-15.0,375.0,345.0,0,13,12,0.0,0.0,0.0,0.0,0.0
209,-15.0,375.0,375.0,0,13,13,0.0,0.0,0.0,0.0,0.0
210,-15.0,375.0,405.0,0,13,14,0.0,0.0,0.0,0.0,0.0
211,-15.0,405.0,-15.0,0,14,0,0.0,0.0,0.0,0.0,0.0
212,-15.0,405.0,15.0,0,14,1,0.0,0.0,0.0,0.0,0.0
213,-15.0,405.0,45.0,0,14,2,0.0,0.0,0.0,0.0,0.0
214,-15.0,405.0,75.0,0,14,3,0.0,0.0,0.0,0.0,0.0
215,-15.0,405.0,105.0,0,14,4,0.0,0.0,0.0,0.0,0.0
216,-15.0,405.0,135.0,0,14,5,0.0,0.0,0.0,0.0,0.0
217,-15.0,405.0,165.0,0,14,6,0.0,0.0,0.0,0.0,0.0
218,-15.0,405.0,195.0,0,14,7,0.0,0.0,0.0,0.0,0.0
219,-15.0,405.0,225.0,0,14,8,0.0,0.0,0.0,0.0,0.0
220,-15.0,405.0,255.0,0,14,9,0.0,0.0,0.0,0.0,0.0
221,-15.0,405.0,285.0,0,14,10,0.0,0.0,0.0,0.0,0.0
222,-15.0,405.0,315.0,0,14,11,0.0,0.0,0.0,0.0,0.0
223,-15.0,405.0,345.0,0,14,12,0.0,0.0,0.0,0.0,0.0
224,-15.0,405.0,375.0,0,14,13,0.0,0.0,0.0,0.0,0.0
225,-15.0,405.0,405.0,0,14,14,0.0,0.0,0.0,0.0,0.0
226,-15.0,435.0,-15.0,0,15,0,0.0,0.0,0.0,0.0,0.0
227,-15.0,435.0,15.0,0,15,1,0.0,0.0,0.0,0.0,0.0
228,-15.0,435.0,45.0,0,15,2,0.0,0.0,0.0,0.0,0.0
229,-15.0,435.0,75.0,0,15,3,0.0,0.0,0.0,0.0,0.0
230,-15.0,435.0,105.0,0,15,4,0.0,0.0,0.0,0.0,0.0
231,-15.0,435.0,135.0,0,15,5,0.0,0.0,0.0,0.0,0.0
232,-15.0,435.0,165.0,0,15,6,0.0,0.0,0.0,0.0,0.0
233,-15.0,435.0,195.0,0,15,7,0.0,0.0,0.0,0.0,0.0
234,-15.0,435.0,225.0,0,15,8,0.0,0.0,0.0,0.0,0.0
235,-15.0,435.0,255.0,0,15,9,0.0,0.0,0.0,0.0,0.0
236,-15.0,435.0,285.0,0,15,10,0.0,0.0,0.0,0.0,0.0
237,-15.0,435.0,315.0,0,15,11,0.0,0.0,0.0,0.0,0.0
238,-15.0,435.0,345.0,0,15,12,0.0,0.0,0.0,0.0,0.0
239,-15.0,435.0,375.0,0,15,13,0.0,0.0,0.0,0.0,0.0
240,-15.0,435.0,405.0,0,15,14,0.0,0.0,0.0,0.0,0.0
241,-15.0,465.0,-15.0,0,16,0,0.0,0.0,0.0,0.0,0.0
242,-15.0,465.0,15.0,0,16,1,0.0,0.0,0.0,0.0,0.0
243,-15.0,465.0,45.0,0,16,2,0.0,0.0,0.0,0.0,0.0
244,-15.0,465.0,75.0,0,16,3,0.0,0.0,0.0,0.0,0.0
245,-15.0,465.0,105.0,0,16,4,0.0,0.0,0.0,0.0,0.0
246,-15.0,465.0,135.0,0,16,5,0.0,0.0,0.0,0.0,0.0
247,-15.0,465.0,165.0,0,16,6,0.0,0.0,0.0,0.0,0.0
248,-15.0,465.0,195.0,0,16,7,0.0,0.0,0.0,0.0,0.0
249,-15.0,465.0,225.0,0,16,8,0.0,0.0,0.0,0.0,0.0
250,-15.0,465.0,255.0,0,16,9,0.0,0.0,0.0,0.0,0.0
251,-15.0,465.0,285.0,0,16,10,0.0,0.0,0.0,0.0,0.0
252,-15.0,465.0,315.0,0,16,11,0.0,0.0,0.0,0.0,0.0
253,-15.0,465.0,345.0,0,16,12,0.0,0.0,0.0,0.0,0.0
254,-15.0,465.0,375.0,0,16,13,0.0,0.0,0.0,0.0,0.0
255,-15.0,465.0,405.0,0,16,14,0.0,9841.43,-9841.43,18440.0,0.0
256,-15.0,495.0,-15.0,0,17,0,0.0,0.0,0.0,0.0,0.0
257,-15.0,495.0,15.0,0,17,1,0.0,0.0,0.0,0.0,0.0
258,-15.0,495.0,45.0,0,17,2,0.0,0.0,0.0,0.0,0.0
259,-15.0,495.0,75.0,0,17,3,0.0,0.0,0.0,0.0,0.0
260,-15.0,495.0,105.0,0,17,4,0.0,0.0,0.0,0.0,0.0
261,-15.0,495.0,135.0,0,17,5,0.0,0.0,0.0,0.0,0.0
262,-15.0,495.0,165.0,0,17,6,0.0,0.0,0.0,0.0,0.0
263,-15.0,495.0,195.0,0,17,7,0.0,0.0,0.0,0.0,0.0
264,-15.0,495.0,225.0,0,17,8,0.0,0.0,0.0,0.0,0.0
265,-15.0,495.0,255.0,0,17,9,0.0,0.0,0.0,0.0,0.0
266,-15.0,495.0,285.0,0,17,10,0.0,0.0,0.0,0.0,0.0
267,-15.0,495.0,315.0,0,17,11,0.0,0.0,0.0,0.0,0.0
268,-15.0,495.0,345.0,0,17,12,0.0,0.0,0.0,0.0,0.0
269,-15.0,495.0,375.0,0,17,13,0.0,0.0,0.0,0.0,0.0
270,-15.0,495.0,405.0,0,17,14,0.0,11963.98,-11963.98,19930.0,0.0
271,-15.0,525.0,-15.0,0,18,0,0.0,0.0,0.0,0.0,0.0
272,-15.0,525.0,15.0,0,18,1,0.0,0.0,0.0,0.0,0.0
273,-15.0,525.0,45.0,0,18,2,0.0,0.0,0.0,0.0,0.0
274,-15.0,525.0,75.0,0,18,3,0.0,0.0,0.0,0.0,0.0
275,-15.0,525.0,105.0,0,18,4,0.0,0.0,0.0,0.0,0.0
276,-15.0,525.0,135.0,0,18,5,0.0,0.0,0.0,0.0,0.0
277,-15.0,525.0,165.0,0,18,6,0.0,0.0,0.0,0.0,0.0
278,-15.0,525.0,195.0,0,18,7,0.0,0.0,0.0,0.0,0.0
279,-15.0,525.0,225.0,0,18,8,0.0,0.0,0.0,0.0,0.0
280,-15.0,525.0,255.0,0,18,9,0.0,0.0,0.0,0.0,0.0
281,-15.0,525.0,285.0,0,18,10,0.0,0.0,0.0,0.0,0.0
282,-15.0,525.0,315.0,0,18,11,0.0,0.0,0.0,0.0,0.0
283,-15.0,525.0,345.0,0,18,12,0.0,0.0,0.0,0.0,0.0
284,-15.0,525.0,375.0,0,18,13,0.0,0.0,0.0,0.0,0.0
285,-15.0,525.0,405.0,0,18,14,0.0,12774.38,-12774.38,21280.0,0.0
286,-15.0,555.0,-15.0,0,19,0,0.0,0.0,0.0,0.0,0.0
287,-15.0,555.0,15.0,0,19,1,0.0,0.0,0.0,0.0,0.0
288,-15.0,555.0,45.0,0,19,2,0.0,0.0,0.0,0.0,0.0
289,-15.0,555.0,75.0,0,19,3,0.0,0.0,0.0,0.0,0.0
290,-15.0,555.0,105.0,0,19,4,0.0,0.0,0.0,0.0,0.0
291,-15.0,555.0,135.0,0,19,5,0.0,0.0,0.0,0.0,0.0
292,-15.0,555.0,165.0,0,19,6,0.0,0.0,0.0,0.0,0.0
293,-15.0,555.0,195.0,0,19,7,0.0,0.0,0.0,0.0,0.0
294,-15.0,555.0,225.0,0,19,8,0.0,0.0,0.0,0.0,0.0
295,-15.0,555.0,255.0,0,19,9,0.0,0.0,0.0,0.0,0.0
296,-15.0,555.0,285.0,0,19,10,0.0,0.0,0.0,0.0,0.0
297,-15.0,555.0,315.0,0,19,11,0.0,0.0,0.0,0.0,0.0
298,-15.0,555.0,345.0,0,19,12,0.0,0.0,0.0,0.0,0.0
299,-15.0,555.0,375.0,0,19,13,0.0,0.0,0.0,0.0,0.0
300,-15.0,555.0,405.0,0,19,14,0.0,13554.77,-13554.77,22580.0,0.0
301,-15.0,585.0,-15.0,0,20,0,0.0,0.0,0.0,0.0,0.0
302,-15.0,585.0,15.0,0,20,1,0.0,0.0,0.0,0.0,0.0
303,-15.0,585.0,45.0,0,20,2,0.0,0.0,0.0,0.0,0.0
304,-15.0,585.0,75.0,0,20,3,0.0,0.0,0.0,0.0,0.0
305,-15.0,585.0,105.0,0,20,4,0.0,0.0,0.0,0.0,0.0
306,-15.0,585.0,135.0,0,20,5,0.0,0.0,0.0,0.0,0.0
307,-15.0,585.0,165.0,0,20,6,0.0,0.0,0.0,0.0,0.0
308,-15.0,585.0,195.0,0,20,7,0.0,0.0,0.0,0.0,0.0
309,-15.0,585.0,225.0,0,20,8,0.0,0.0,0.0,0.0,0.0
310,-15.0,585.0,255.0,0,20,9,0.0,0.0,0.0,0.0,0.0
311,-15.0,585.0,285.0,0,20,10,0.0,0.0,0.0,0.0,0.0
312,-15.0,585.0,315.0,0,20,11,0.0,0.0,0.0,0.0,0.0
313,-15.0,585.0,345.0,0,20,12,0.0,0.0,0.0,0.0,0.0
314,-15.0,585.0,375.0,0,20,13,0.0,0.0,0.0,0.0,0.0
315,-15.0,585.0,405.0,0,20,14,0.0,15301.65,-15301.65,25490.0,0.0
316,-15.0,615.0,-15.0,0,21,0,0.0,0.0,0.0,0.0,0.0
317,-15.0,615.0,15.0,0,21,1,0.0,0.0,0.0,0.0,0.0
318,-15.0,615.0,45.0,0,21,2,0.0,0.0,0.0,0.0,0.0
319,-15.0,615.0,75.0,0,21,3,0.0,0.0,0.0,0.0,0.0
320,-15.0,615.0,105.0,0,21,4,0.0,0.0,0.0,0.0,0.0
321,-15.0,615.0,135.0,0,21,5,0.0,0.0,0.0,0.0,0.0
322,-15.0,615.0,165.0,0,21,6,0.0,0.0,0.0,0.0,0.0
323,-15.0,615.0,195.0,0,21,7,0.0,0.0,0.0,0.0,0.0
324,-15.0,615.0,225.0,0,21,8,0.0,0.0,0.0,0.0,0.0
325,-15.0,615.0,255.0,0,21,9,0.0,0.0,0.0,0.0,0.0
326,-15.0,615.0,285.0,0,21,10,0.0,0.0,0.0,0.0,0.0
327,-15.0,615.0,315.0,0,21,11,0.0,0.0,0.0,0.0,0.0
328,-15.0,615.0,345.0,0,21,12,0.0,0.0,0.0,0.0,0.0
329,-15.0,615.0,375.0,0,21,13,0.0,0.0,0.0,0.0,0.0
330,-15.0,615.0,405.0,0,21,14,0.0,17144.57,-17144.57,28560.0,0.0
331,-15.0,645.0,-15.0,0,22,0,0.0,0.0,0.0,0.0,0.0
332,-15.0,645.0,15.0,0,22,1,0.0,0.0,0.0,0.0,0.0
333,-15.0,645.0,45.0,0,22,2,0.0,0.0,0.0,0.0,0.0
334,-15.0,645.0,75.0,0,22,3,0.0,0.0,0.0,0.0,0.0
335,-15.0,645.0,105.0,0,22,4,0.0,0.0,0.0,0.0,0.0
336,-15.0,645.0,135.0,0,22,5,0.0,0.0,0.0,0.0,0.0
337,-15.0,645.0,165.0,0,22,6,0.0,0.0,0.0,0.0,0.0
